1 		Bitcoin 	BTC 	3.835,4 	$68,30B 	$10,11B 	30,25% 	+3,12% 	+0,84%
2 		Ethereum 	ETH 	135,21 	$14,36B 	$4,70B 	14,06% 	+6,60% 	-0,56%
3 		Ripple 	XRP 	0,3129 	$13,03B 	$777,74M 	2,33% 	+3,32% 	-1,31%
4 		EOS 	EOS 	3,6854 	$3,37B 	$2,07B 	6,18% 	+11,93% 	+8,18%
5 		Litecoin 	LTC 	52,191 	$3,19B 	$1,97B 	5,89% 	+12,05% 	+15,75%
6 		Bitcoin Cash 	BCH 	130,61 	$2,34B 	$313,21M 	0,94% 	+5,65% 	-0,84%
7 		Tether 	USDT 	0,99702 	$2,05B 	$9,71B 	29,06% 	+0,04% 	+0,13%
8 		Binance Coin 	BNB 	13,5436 	$1,94B 	$235,17M 	0,70% 	+16,56% 	+44,47%
9 		Stellar 	XLM 	0,08499 	$1,65B 	$164,04M 	0,49% 	+3,66% 	-0,94%
10 		TRON 	TRX 	0,023579 	$1,59B 	$238,93M 	0,71% 	+2,83% 	-1,89%
11 		Bitcoin SV 	BSV 	66,27 	$1,19B 	$109,16M 	0,33% 	+5,43% 	-8,27%
12 		Cardano 	ADA 	0,04283 	$1,12B 	$20,70M 	0,06% 	+5,87% 	+0,25%
13 		Monero 	XMR 	48,97 	$849,02M 	$72,66M 	0,22% 	+3,45% 	+2,19%
14 		IOTA 	MIOTA 	0,28078 	$783,89M 	$7,43M 	0,02% 	+2,17% 	-1,34%
15 		Dash 	DASH 	83,48 	$722,88M 	$257,33M 	0,77% 	+4,26% 	+0,62%
16 		Maker 	MKR 	675,67 	$681,44M 	$1,58M 	0% 	+8,85% 	+0,60%
17 		NEO 	NEO 	8,6478 	$570,14M 	$297,67M 	0,89% 	+5,69% 	-3,57%
18 		Ethereum Classic 	ETC 	4,2154 	$463,11M 	$241,69M 	0,72% 	+2,99% 	-1,08%
19 		NEM 	XEM 	0,04173 	$375,78M 	$14,78M 	0,04% 	+3,56% 	-4,77%
20 		Zcash 	ZEC 	50,27 	$305,86M 	$185,76M 	0,56% 	+3,32% 	-3,99%
21 		Ontology 	ONT 	0,9085 	$291,25M 	$52,35M 	0,16% 	+12,21% 	-0,78%
22 		Waves 	WAVES 	2,6883 	$264,89M 	$13,40M 	0,04% 	-2,62% 	-1,09%
23 		Tezos 	XTZ 	0,4033 	$257,63M 	$4,43M 	0,01% 	+0,55% 	+3,94%
24 		VeChain 	VET 	0,004316 	$242,22M 	$8,60M 	0,03% 	+2,09% 	-5,38%
25 		USD Coin 	USDC 	1,00268 	$240,49M 	$32,08M 	0,10% 	+2,09% 	+0,29%
26 		Dogecoin 	DOGE 	0,00194 	$234,85M 	$19,50M 	0,06% 	+0,85% 	-1,82%
27 		Basic Attention Token 	BAT 	0,17479 	$218,02M 	$18,86M 	0,06% 	+2,80% 	+7,69%
28 		Bitcoin Gold 	BTG 	12,2997 	$216,90M 	$10,34M 	0,03% 	+4,13% 	-2,90%
29 		TrueUSD 	TUSD 	1,0019 	$205,50M 	$69,94M 	0,21% 	-0,23% 	-0,15%
30 		Qtum 	QTUM 	2,053 	$185,67M 	$215,09M 	0,64% 	+5,28% 	-0,16%
31 		OmiseGO 	OMG 	1,2174 	$173,23M 	$35,43M 	0,11% 	+3,24% 	-9,00%
32 		Paragon 	PRG 	0,014 	$165,09M 	$2,98M 	0,02% 	0% 	+2,01K%
33 		Decred 	DCR 	16,658 	$158,73M 	$1,75M 	0,01% 	+4,65% 	+0,09%
34 		ChainLink 	LINK 	0,4176 	$149,18M 	$6,37M 	0,02% 	+0,36% 	-2,84%
35 		Lisk 	LSK 	1,2339 	$145,25M 	$3,65M 	0,01% 	+4,13% 	+2,48%
36 		Holo 	HOT 	0,00108 	$144,33M 	$11,29M 	0,03% 	+5,56% 	-6,85%
37 		Zilliqa 	ZIL 	0,017155 	$140,86M 	$5,96M 	0,02% 	+3,22% 	-3,56%
38 		Augur 	REP 	12,720 	$140,36M 	$3,18M 	0,01% 	+3,50% 	-1,67%
39 		0x 	ZRX 	0,23689 	$139,74M 	$10,11M 	0,03% 	+4,19% 	-3,44%
40 		ABBC Coin 	ABBC 	0,343049 	$135,78M 	$36,84M 	0,11% 	+10,55% 	+170,70%
41 		ICON 	ICX 	0,28259 	$135,32M 	$11,30M 	0,03% 	+6,58% 	+5,82%
42 		DigiByte 	DGB 	0,011367 	$132,09M 	$1,61M 	0% 	+6,75% 	+8,37%
43 		Bytecoin 	BCN 	0,000685 	$127,49M 	$225,48K 	0% 	+3,96% 	+3,50%
44 		THETA 	THETA 	0,1253 	$125,95M 	$8,78M 	0,03% 	-0,08% 	+2,10%
