Date,High,Low,Mid,Last,Bid,Ask,Volume
2019-03-05,8.248e-05,8.119e-05,8.1745e-05,8.166e-05,8.174e-05,8.175e-05,2650157.1276367
2019-03-04,8.195e-05,8.038e-05,8.1415e-05,8.141e-05,8.141e-05,8.142e-05,2270224.8952985
2019-03-03,8.239e-05,8.134e-05,8.172e-05,8.173e-05,8.17e-05,8.174e-05,1263727.1210999
2019-03-02,8.303e-05,8.162e-05,8.2105e-05,8.216e-05,8.21e-05,8.211e-05,1776640.9101658
2019-03-01,8.4e-05,8.158e-05,8.2645e-05,8.261e-05,8.262e-05,8.267e-05,2613527.6352705
2019-02-28,8.28e-05,8.072e-05,8.2265e-05,8.238e-05,8.226e-05,8.227e-05,3925916.7071725
2019-02-27,8.322e-05,8.105e-05,8.1405e-05,8.145e-05,8.139e-05,8.142e-05,3320653.8659261
2019-02-26,8.72e-05,8.258e-05,8.3055e-05,8.302e-05,8.305e-05,8.306e-05,5874749.5217843
2019-02-25,8.789e-05,7.881e-05,8.5545e-05,8.553e-05,8.552e-05,8.557e-05,12512671.800009
2019-02-23,8.15e-05,7.969e-05,8.0785e-05,8.078e-05,8.078e-05,8.079e-05,3350920.6384541
2019-02-22,8.17e-05,8.028e-05,8.1035e-05,8.106e-05,8.101e-05,8.106e-05,1650125.7536015
2019-02-21,8.361e-05,8.008e-05,8.1255e-05,8.121e-05,8.125e-05,8.126e-05,4957432.3639383
2019-02-20,8.421e-05,8.162e-05,8.3375e-05,8.335e-05,8.335e-05,8.34e-05,2656934.8582678
2019-02-19,8.868e-05,8.241e-05,8.262e-05,8.266e-05,8.261e-05,8.263e-05,8957283.4179594
2019-02-18,8.448e-05,8.175e-05,8.2655e-05,8.264e-05,8.265e-05,8.266e-05,5777256.0720841
2019-02-17,8.346e-05,8.207e-05,8.2575e-05,8.249e-05,8.254e-05,8.261e-05,1871019.9548749
2019-02-16,8.387e-05,8.291e-05,8.3005e-05,8.298e-05,8.299e-05,8.302e-05,536416.85934911
2019-02-15,8.42e-05,8.299e-05,8.3685e-05,8.369e-05,8.368e-05,8.369e-05,1622754.0572512
2019-02-14,8.461e-05,8.352e-05,8.3825e-05,8.386e-05,8.382e-05,8.383e-05,902861.08191713
2019-02-13,8.604e-05,8.35e-05,8.4225e-05,8.422e-05,8.422e-05,8.423e-05,2259119.5010364
2019-02-12,8.444e-05,8.275e-05,8.394e-05,8.399e-05,8.393e-05,8.395e-05,2654856.6346034
2019-02-11,8.445e-05,8.318e-05,8.329e-05,8.334e-05,8.327e-05,8.331e-05,1788444.3965359
2019-02-10,8.541e-05,8.275e-05,8.4205e-05,8.425e-05,8.415e-05,8.426e-05,3427220.7252378
2019-02-09,8.597e-05,8.456e-05,8.54e-05,8.534e-05,8.539e-05,8.541e-05,2286933.1792206
2019-02-08,8.808e-05,8.444e-05,8.5355e-05,8.536e-05,8.533e-05,8.538e-05,4816859.4110371
2019-02-07,8.632e-05,8.494e-05,8.5915e-05,8.591e-05,8.591e-05,8.592e-05,1392680.1142335
2019-02-06,8.637e-05,8.495e-05,8.505e-05,8.51e-05,8.504e-05,8.506e-05,1864208.7615885
2019-02-05,8.701e-05,8.571e-05,8.6235e-05,8.624e-05,8.623e-05,8.624e-05,5567095.555778
2019-02-04,8.794e-05,8.593e-05,8.632e-05,8.631e-05,8.631e-05,8.633e-05,4757071.9491825
2019-02-03,8.9e-05,8.648e-05,8.7345e-05,8.727e-05,8.734e-05,8.735e-05,1611336.9315556
2019-02-02,8.9e-05,8.786e-05,8.8995e-05,8.9e-05,8.899e-05,8.9e-05,2859781.1333527
2019-02-01,9.019e-05,8.673e-05,8.8815e-05,8.88e-05,8.879e-05,8.884e-05,6040396.4871531
2019-01-31,9.637e-05,8.882e-05,8.9955e-05,8.997e-05,8.994e-05,8.997e-05,7735894.4879263
2019-01-30,9.367e-05,8.34e-05,9.2705e-05,9.273e-05,9.27e-05,9.271e-05,17460944.957876
2019-01-29,8.547e-05,8.33e-05,8.4195e-05,8.419e-05,8.419e-05,8.42e-05,7793439.2570666
2019-01-28,8.653e-05,8.291e-05,8.505e-05,8.507e-05,8.503e-05,8.507e-05,8024068.7529624
2019-01-27,8.798e-05,8.613e-05,8.6235e-05,8.624e-05,8.622e-05,8.625e-05,1831748.7572928
2019-01-26,8.81e-05,8.688e-05,8.7595e-05,8.761e-05,8.759e-05,8.76e-05,4642359.3675423
2019-01-25,8.86e-05,8.756e-05,8.803e-05,8.805e-05,8.802e-05,8.804e-05,811771.75281328
2019-01-24,8.886e-05,8.773e-05,8.8435e-05,8.838e-05,8.843e-05,8.844e-05,2421221.9202417
2019-01-23,8.9e-05,8.828e-05,8.845e-05,8.859e-05,8.842e-05,8.848e-05,3350010.2690765
2019-01-22,9.018e-05,8.844e-05,8.8845e-05,8.887e-05,8.882e-05,8.887e-05,6418362.1408489
2019-01-21,9.06e-05,8.923e-05,8.992e-05,9.001e-05,8.989e-05,8.995e-05,2856234.7476346
